artist,format,genre,length,producer,recorded,release,song,songwriter,year
"John Mellencamp,Meshell Ndegeocello",,"R&B,, ,Rock,Rock","
,Length,
,3,:,33,
","Van Morrison,
,Ted Templeman,John Mellencamp, Mike Manchic","Spring 1971 in ,, San Francisco","October 1971,June 1994 (U.S.),
22 August 1994 (UK)",Wild Night,"Van Morrison,Van Morrison",1994
"Salt-n-Pepa,En Vogue","7-inch single,
,
,
,CD single,
,cassette single,
,
,
,
,
,
,CD single,
,Digital download,
,
,
","Soul,
,
,
,R&B,
,hip hop,
,funk,
,
,
,Pop",,,"August 1993,2011","1968 ,December 2, 1993,2 September 2011",Whatta Man,"David Crawford,Cheryl James,, ,Dave Crawford,, ,Hurby ""Luv Bug"" Azor,David Crawford",1994
Madonna,"
,
,
,7"",
,12"",
,CD,
,maxi,
,cassette,
,
,
",Pop,"
,Length,
,4,:,23,
","
,
,
,Madonna,
,Patrick Leonard,
,
,
",1994,15-Mar-94,I'll Remember,"
,
,
,Madonna,
,Patrick Leonard,
,Richard Page,
,
,
",1994
Janet Jackson,"
,
,
,7"",
,12"",
,CD,
,cassette,
,
,
",Pop,"
,Length,
,3,:,47,
","
,
,
,Jimmy Jam and Terry Lewis,
,Janet Jackson,
,
,
","Flyte Tyme Studios,
","October 12, 1993",Again,"
,
,
,Janet Jackson,
,James Harris III,
,Terry Lewis,
,
,
",1994
R. Kelly,"
,
,CD single,
,cassette single,
,7-inch single,
,
,Digital download","R&B,House","
,Length,
,4,:,16,
","R. Kelly,Serge Santiágo, Firas Waez","1993–1994 (remix),2012","January 25, 1994,October 19, 2014",Bump n' Grind,"Robert Kelly,R. Kelly",1994
Ace of Base,"
,
,
,CD single,
,12"" single,
,7"" single,
,digital download,
,
,
","Pop,, ,rock,Reggae fusion,
,
,
,Reggae fusion,
,dance-pop,
,
,
",,"Bryan Adams,, ,Bob Clearmountain,Chris Porter,
,
,
,Tommy Ekman,
,Per Adebratt,
,
,
","1987,1993;,
Tuff Studios, ,, ","1986,February 10, 1988,March 15, 1994 (Europe),
May 3, 1994 (,),
July 1, 1994 (UK)",Don't Turn Around,"Albert Hammond,, ,Diane Warren,Albert Hammond,, ,Diane Warren, Tina Turner*,
,
,
,Albert Hammond,
,Diane Warren,
,
,
",1994
"Bryan Adams,Rod Stewart,Sting",CD single,Rock,"
,Length,
,4,:,45,
","
,
,Chris Thomas,
,David Nicholas,
,Bryan Adams,
,
",,"November 16, 1993",All for Love,"
,
,Bryan Adams,
,Robert ""Mutt"" Lange,
,Michael Kamen,
,
",1994
Ace of Base,"
,
,
,CD,
,maxi CD,
,7"",
,12"",
,cassette,
,
,
","
,
,
,Dance-pop,[2],
,reggae-pop,[3],
,
,
","
,Length,
,3,:,30,
","
,
,
,Denniz Pop,
,Jonas Berggren,
,Ulf Ekberg,
,
,
","
,
",Nov-92,All That She Wants,"
,
,
,Jonas Berggren,
,Ulf Ekberg,
,
,
",1994
Toni Braxton,"CD single,, ,12"" single,, ,cassette single",,"
,Length,
,4,:,29,
","
,
,
,Babyface,
,Daryl Simmons,
,L. A. Reid,
,
,
",1992,6-Aug-93,Breathe Again,Kenneth "Babyface" Edmonds,1994
Lisa Loeb and Nine Stories,CD single,"Pop,, ,folk pop,[1]","
,Length,
,3,:,04,
","Lisa Loeb, Juan Patiño",,17-May-94,Stay (I Missed You),Lisa Loeb,1994
Mariah Carey,"CD single,
,
,
,CD,
,digital download,
,
,
","
,
,
,R&B,
,pop,
,
,
,
,
,
,Pop,
,R&B,
,
,
","
,Length,
,4,:,19,
","
,
,
,Mariah Carey • Walter Afanasieff,
,
,
",1992–93,"October 19, 1993,October 27, 2008",Hero,"
,
,
,Mariah Carey,
,
,
,
,
,
,Mariah Carey,
,
,
",1994
Céline Dion,"
,
,
,7"",
,12"",
,CD Single,
,
,
,
,
,
,7"",
,cassette,
,
,
,
,
,
,CD,
,cassette,
,7"",
,
,
","Pop,
,
,
,Pop rock,
,soft rock,
,
,
,Pop rock","
,Length,
,6,:,00,
","
,
,
,Gunther Mende,
,Candy DeRouge,
,
,
,Peter Collins,David Kershenbaum,David Foster","
,
,19,1985,
,
,
,
,47","December 1984, (U.S),
24 June 1985,July 1985,October 1987,8 November 1993",The Power of Love,"
,
,
,Gunther Mende,
,Candy DeRouge,
,Jennifer Rush,
,Mary Susan Applegate,
,
,
,
,
,
,Gunther Mende,
,Candy DeRouge,
,Jennifer Rush,
,Mary Susan Applegate,
,
,
,
,
,
,Gunther Mende,
,Candy DeRouge,
,Jennifer Rush,
,Mary Susan Applegate,
,
,
,
,
,
,Gunther Mende,
,Candy DeRouge,
,Jennifer Rush,
,Mary Susan Applegate,
,
,
",1994
Boyz II Men,CD,R&B,"
,Length,
,4,:,07,
",Babyface,,"July 26, 1994",I'll Make Love to You,Babyface,1994
All-4-One,"
,
,
,7"",
,CD,
,cassette,
,
,
,
,
,
,7"",
,CD,
,cassette,
,
,
,
,
,
,CD,
,digital download,
,
,
","Country,
,
,
,Pop,
,R&B,
,
,
,Pop",,"Scott Hendricks,David Foster,Gary Baker","19,931,993","December 13, 1993,April 28, 1994,19 November 2010",I Swear,"
,
,
,Gary Baker,
,Frank J. Myers,
,
,
,
,
,
,Gary Baker,
,Frank J. Myers,
,
,
,
,
,
,Gary Baker,
,Frank J. Myers,
,
,
",1994
P.M. Dawn,"7"",, ,12"",, ,CD single","R&B,, ,alternative hip hop","
,Length,
,4,:,09,
",P.M. Dawn,,8-Mar-93,Looking Through Patient Eyes,"Attrell Cordes,, ,George Michael",1993
Onyx,"Vinyl,, ,Cassette,, ,CD",Hardcore hip hop,"
,Length,
,3,:,38,
","Chyskillz, ,Jam-Master Jay",1992,11-May-93,Slam,"Kirk Jones,, ,Jason Mizell,, Chylow Parker, ,Fred Scruggs,, ,Tyrone Taylor",1993
Meat Loaf,"
,
,
,Vinyl,
,CD,
,cassette,
,
,
","
,
,
,Progressive rock,
,hard rock,
,
,
","
,Length,
,
,
,
,12,:,01, ,(Album version),
,7:38 ,(,Video version,),
,5:25 ,(Single version),
,
,
,
",Jim Steinman," (,, US)",15-Sep-93,I'd Do Anything for Love (But I Won't Do That),Jim Steinman,1993
Tony! Toni! Toné!,"Cassette,,,[1], ,12-inch,[2]","New jack swing,[3]","
,Length,
,4,:,01,
",Tony! Toni! Toné!,1992,"June 1, 1993",If I Had No Loot,"Juan Bautista, Will Harris, ,Raphael Wiggins,, Steve Cropper, ,Eddie Floyd,, ,Ice Cube,, Anthony Wheaton",1993
Shanice,,"Pop,, ,R&B","
,Length,
,4,:,27,
",David Foster,1992,1-Oct-92,Saving Forever for You,Diane Warren,1993
Duran Duran,"
,
,
,7"",
,12"",
,CD-single,
,
,
,CD single","
,
,
,Alternative rock,
,
,
,Progressive house,/,Progressive trance","
,Length,
,5,:,39, ,(album version),
4:43 ,(single version),
","Duran Duran, ,John Jones","Privacy, ,1998","19 December 1992 (US) / 26 January 1993 (UK),2000",Ordinary World,"Simon Le Bon,, ,John Taylor,, ,James Bates,, ,Warren Cuccurullo,Duran Duran",1993
Arrested Development,"7-inch single,, ,12-inch single,, ,CD,, ,Vinyl","Alternative hip hop,, ,R&B","
,Length,
,4,:,06,
",,1991,1992,Mr. Wendal,"Thomas Todd,, ,Sylvester Stewart",1993
Rod Stewart,CD single,"Celtic,, ,folk rock,, ,soft rock,Soft rock,Folk","
,Length,
,4,:,20,
","Van Morrison,Michael Ostin,Paddy Moloney, (with ,Chris Kimsey, and ,Ry Cooder,)","1989,4:08","5 June 1989,March 1993,1995",Have I Told You Lately,"Van Morrison,Van Morrison,Van Morrison",1993
Whitney Houston,"
,
,
,7"" single,
,12"" single,
,CD single,
,maxi single,
,cassette single,
,
,
","
,
,
,Pop,
,R&B,
,soul,
,
,
","
,Length,
,4,:,48,
",David Foster,1991,20-Feb-93,I Have Nothing,"
,
,
,David Foster,
,Linda Thompson,
,
,
",1993
SWV,"
,
,
,CD single,
,Cassette single,
,7"" vinyl,
,
,
,
,
,
,CD single,
,Cassette single,
,7"" vinyl,
,
,
","
,
,
,R&B,
,new jack swing,[1],
,
,
,
,
,
,R&B,
,new jack swing,
,hip hop soul,
,
,
",,"
,
,
,Brian Alexander Morgan (original version),
,Teddy Riley, (remix),
,
,
,
,
,
,Brian Alexander Morgan (original version),
,Teddy Riley (remix),
,
,
","19,911,992","August 20, 1992, ,
September 11, 1992, ,
September 14, 1992, ,July 10, 1993",Right Here,"
,
,
,Brian Alexander Morgan,
,John Bettis,
,Steve Porcaro,
,
,
,
,
,
,Brian Alexander Morgan,
,Steve Porcaro,
,John Bettis,
,
,
",1993
Spin Doctors,"
,
,
,CD single,
,CD maxi,
,7"" single,
,
,
","Alternative rock,[1]","
,Length,
,
,
,
,4,:,16, ,(album version),
,3:26 ,(radio edit),
,
,
,
","
,
,
,Frank Aversa,
,Mark White,
,Eric Schenkman,
,Chris Barron,
,Aaron Comess,
,
,
",,1993,Two Princes,"
,
,
,Mark White,
,Eric Schenkman,
,Chris Barron,
,Aaron Comess,
,
,
",1993
The Proclaimers,"
,
,
,7"",
,12"",
,CD single,
,
,
,
,
,
,digital download,
,CD single,
,DVD single,
,
,
","
,
,
,Celtic rock,
,folk rock,
,college rock,
,alternative rock,
,
,
,
,
,
,Celtic rock,
,folk pop,
,college rock,
,
,
","
,Length,
,3,:,37,
",Pete Wingfield,"1988, ,, ,1988, 2007","August 1988 (UK),
June 1993 (US),
2000 (re-release),17 March 2007",I'm Gonna Be (500 Miles),"
,
,
,Charlie Reid,
,Craig Reid,
,
,
,
,
,
,Charlie Reid,
,Craig Reid,
,
,
",1993
Billy Joel,"7-inch,, ,CD,, cassette single","Pop rock,, ,gospel","
,Length,
,4,:,05, (Single version),
5:21 (Album version),
","Joe Nicolo,, ,Danny Kortchmar","1992, in ","July 19th, 1993 (UK),
September 1st, 1993 (US)",The River of Dreams,Billy Joel,1993
Snap!,"
,
,
,CD,
,MCD,
,7"",
,
,
",Eurodance,"
,Length,
,5,:,32,
5:16 ,(12"" Version),
3:45 ,(7"" Edit),[1],
","
,
,
,Benito Benites,
,John ""Virgo"" Garrett III,
,
,
",1991,30-Mar-92,Rhythm Is a Dancer,"
,
,
,Benito Benites,
,John ""Virgo"" Garrett III,
,Thea Austin,
,Turbo B,
,
,
",1993
Paperboy,"12"",, ,7"",, ,CD,, ,MiniDisc,, ,cassette",Hip hop,,"David Weldon,[3]",,"November 3, 1992",Ditty,"
,
,
,Mitchell Johnson,
,Aaron Clark,
,Dave Ferguson,
,John Ferguson,
,Roger Troutman,
,Larry Troutman,[2],
,
,
",1993
Soul Asylum,"LP, Cassette, CD",Alternative rock,,Michael Beinhorn,1992,1-Jun-93,Runaway Train,Dave Pirner,1993
"Vanessa Williams,Brian McKnight",,"Pop,, ,R&B,, ,soul",,Gerry Brown,1992,16-Mar-93,Love Is,"Tonio K,, ,Michael Caruso,, John Keller",1993
SWV,"CD single,, ,Cassette single","
,
,
,R&B,
,new jack swing,
,
,
","
,Length,
,4,:,38,
",Brian Alexander Morgan,1991,"December 8, 1992",I'm So Into You,Brian Alexander Morgan,1993
Janet Jackson,"
,
,
,7"",
,12"",
,CD,
,cassette,
,
,
","
,
,
,R&B,
,new jack swing,
,trip hop,
,industrial rock,
,hip hop,
,
,
","
,Length,
,4,:,31,
","
,
,
,Jimmy Jam and Terry Lewis,
,Janet Jackson,
,
,
",1992,"July 13, 1993",If,"
,
,
,Janet Jackson,
,James Harris III,
,Terry Lewis,
,Harvey Fuqua,
,John Bristol,
,Jackey Beavers,
,
,
",1993
"Peabo Bryson,Regina Belle","CD,, ,Audio cassette,, ,7""","Pop music,
,
,
,Pop,
,R&B,
,soul,
,
,
","
,Length,
,2,:,40,
","Alan Menken,, ,Tim Rice,[2],Walter Afanasieff,[4]","Early 1992,
,1992","October 31, 1992,November 5, 1992",A Whole New World,"Alan Menken, ,(music),
,Tim Rice, ,(lyrics),[3]",1993
Robin S.,"
,
,
,12"",
,CD,
,7"",
,CS,
,
,
,
,
,
,Digital download,
,12"",
,CD,
,
,
,Digital download","House,[2],House,
,
,
,Deep house,
,tropical house,
,
,
","
,Length,
,6,:,45, ,(Montego Mix),
7:43 ,(StoneBridge Club Mix),
","
,
,
,Allan George,
,Fred McFarlane,
,
,
,
,
,
,Steve Angello,
,Laidback Luke,
,Hal Ritson,
,
,
,Sam Feldt","1990,
1992 ,2008,2014–15","October 13, 1990 ,
December 21, 1992 ,
April 23, 1993 ,December 12, 2008,16 February 2015",Show Me Love,"
,
,
,Allan George,
,Fred McFarlane,
,
,
,
,
,
,Allen George,
,Fred McFarlane,
,
,
,
,
,
,Allen George,
,Fred McFarlane,
,
,
",1993
Duice,"Vinyl,, ,Cassette,, ,CD","Miami bass,, ,Hip hop","
,Length,
,4,:,04,
","Tony Mercedes, Troy ""Taylor-Boy"" Taylor Clear1 Djs",1992,18-Mar-93,Dazzey Duks,"Duice, Troy ""Taylor-Boy"" Taylor for Clear1 Djs ,Ira Brown,LA SNOW",1993
Jodeci,,"R&B, • ,Soul,R&B, • ,Soul","
,Length,
,4,:,05,
","Stevie Wonder,DeVante Swing","1980,February 1993","19,811,993",Lately,"Stevie Wonder,Stevie Wonder, DeVante Swing",1993
H-Town,,"R&B,, ,new jack swing","
,Length,
,5,:,29, (album version),
4:33 (single version),
","Keven Conner, Solomon Conner, Darryl Jackson, Stick",Late 1992 – January 1993,11-Mar-93,Knockin' da Boots,"Keven Conner, Solomon Conner, Darryl Jackson",1993
Jade,"CD,CD single","
,
,
,R&B,
,new jack swing,[1],
,
,
,R&B","
,Length,
,4,:,44, ,(album version),
","
,
,
,Vassal Benford III,
,Ronald Spearman,
,
,
,""Don't Walk Away"" – ,Stargate,
""You've Got a Friend"" – ,Marius De Vries","19,922,003","November 23, 1992,August 9, 2004, (,)",Don't Walk Away,"
,
,
,Vassal Benford III,
,Ronald Spearman,
,
,
,""Don't Walk Away"" – ,Vassal Gradington Benford III,, Ronald Spearman,
""You've Got a Friend"" – ,Carole King",1993
Boyz II Men,"7"" single,CD,, ,CD maxi,, ,7"" single","Doo-wop,, ,traditional pop,A cappella,, ,doo-wop","
,Length,
,3,:,02,
","Marty Kugell,Boyz II Men",,"1956,October 13, 1992 ,
November 10, 1992",In the Still of the Nite,"Fred Parris,F. Parris",1993
Dr. Dre,"12"" vinyl,, ,CD single,, ,Cassette","West Coast hip hop,,,[1], ,G-funk,,,[2], ,gangsta rap",,Dr. Dre,Jun-92,"November 19, 1992 (CD Only),
January 12, 1993 (Cassette),
June 18, 1994 ",Nuthin' but a 'G' Thang,"Andre Young,, ,Tracy Curry,, ,Calvin Broadus,, ,Leon Haywood",1993
Snow,"CD single, ,CD maxi,, ,7"" single,
,12"" maxi,, ,Cassette","Reggae fusion,, ,hip hop","
,Length,
,4,:,05,
",M.C. Shan,1992,30-Sep-92,Informer,"Edmond Leary,
Darrin O'Brien,
Shawn Moltke,
Terri Moltke,
Jeffrey Silva (Associate Writer),Edmond Leary,
Darrin O'Brien,
Shawn Moltke,
Terri Moltke,
Jeffrey Silva (Associate Writer)",1993
Wreckx-n-Effect,"Vinyl,, ,CD,, ,cassette",Hip hop,"
,Length,
,5,:,13,
","Teddy Riley,, ,Ty Fyffe,, Aqil Davidson, Markell Riley ,1,, David Wynn",April–May 1992,25-Aug-92,Rump Shaker,"Teddy Riley,, Aqil Davidson, ,Pharrell Williams,, David Wynn, Anton Hollins, Darren Curry, Markell Riley, ,Michael McEwan,, ,Eldra DeBarge,, ,Randy DeBarge,, ,Etterlene DeBarge",1993
Mariah Carey,"
,
,
,7"",
,CD,
,cassette,
,
,
","
,
,
,Pop,
,R&B,
,
,
","
,Length,
,3,:,53,
","
,
,
,Mariah Carey,
,Dave Hall,
,Walter Afanasieff,
,
,
",1992–93,"July 27, 1993",Dreamlover,"
,
,
,Mariah Carey,
,Dave Hall,
,
,
",1993
Shai,"CD single,CD Single,CD single","A cappella,Pop,, ,R&B,Pop,, ,dance,, ,house","
,Length,
,3,:,09,
","Carl ""Groove"" Martin,Mike Rose & Nicholas Foster,Avri Levi","199,219,962,009","September 1, 1992,21 October 1996,12 October 2010",If I Ever Fall in Love,"Carl ""Groove"" Martin,Carl Martin,Carl Martin",1993
SWV,"
,
,
,CD single,
,7"" single,
,cassette single,
,
,
","
,
,
,R&B,
,pop,
,
,
","
,Length,
,4,:,51,
",Brian Alexander Morgan,December 1991–early 1992,"April 10, 1993",Weak,Brian Alexander Morgan,1993
Silk,"
,
,
,7"",
,CD,
,cassette,
,
,
,
,
,
,12"",
,CD,
,cassette,
,
,
","
,
,
,R&B,
,quiet storm,
,
,
,
,
,
,R&B,
,
,
","
,Length,
,4,:,36,
","
,
,
,Keith Sweat,
,T.H.,
,Errol Taylor,
,
,
,
,
,
,Fitzgerald Scott,
,Cutfather,
,Joe,
,
,
","19,921,998","February 18, 1993,6 July 1998",Freak Me,"
,
,
,Keith Sweat,
,Roy Murray,
,Anthony Teno West Johnson,
,
,
,
,
,
,Keith Sweat,
,Roy Murray,
,Anthony Teno West Johnson,
,
,
",1993
Janet Jackson,"7"",, ,12"",, ,CD,, ,cassette","R&B,, ,pop,, ,new jack swing,, ,funk,, ,downtempo,, ,soul","
,Length,
,4,:,24,
","Jimmy Jam and Terry Lewis,, Janet Jackson",Jan-93,"April 20, 1993",That's the Way Love Goes,"Janet Jackson, James Harris III, Terry Lewis, ,James Brown,, ,Fred Wesley,, ,John ""Jabo"" Starks,, Charles Bobbit",1993
UB40,"7"",
,
,
,7"",
,10"",
,CD,
,MCD,
,
,
,CD single","Pop,
,
,
,Reggae fusion,
,synthpop,
,
,
,Dance-pop,[32]",,"Elvis Presley ,(Joseph Lilley for Paramount Pictures),[3],UB40,Mark Hammond","March 23, 1961, ,, ,, ,March 3, 1993,2002","October 1, 1961,May 10, 1993,October 29, 2002",Can't Help Falling in Love,"
,
,
,Hugo Peretti,
,Luigi Creatore,
,George David Weiss,[2],
,
,
,
,
,
,Hugo Peretti,
,Luigi Creatore,
,George David Weiss,
,
,
,
,
,
,Hugo Peretti,
,Luigi Creatore,
,George David Weiss,
,
,
",1993
Tag Team,12-inch single,Miami bass,"
,Length,
,3,:,56,
",Tag Team,1992,7-May-93,Whoomp! (There It Is),"Stephen Gibson and Cecil Glenn (,Tag Team,)",1993
Whitney Houston,"7-inch single,
,
,CD single,
,cassette single,
,7-inch single,
,12-inch single,
,
","Country,Soul","
,Length,
,2,:,53,
","Bob Ferguson,David Foster","June 13, 1973,Spring 1992","June 6, 1974,November 3, 1992",I Will Always Love You,"Dolly Parton,Dolly Parton",1993
Kesha,"
,
,
,CD single,
,digital download,
,
,
","
,
,
,Electropop,
,dance-pop,
,
,
","
,Length,
,3,:,21,
","
,
,
,Dr. Luke,
,Benny Blanco,
,
,
","2009; ,, ,, ","August 7, 2009",Tik Tok,"
,
,
,Kesha Sebert,
,Dr. Luke,
,Benny Blanco,
,
,
",2010
Adele,"
,
,
,CD,
,digital download,
,
,
,Digital download","
,
,
,Pop,
,soul,
,blues,
,
,
,Alternative rock","
,Length,
,3,:,48,
","Paul Epworth,
,
,
,Mike Shinoda,
,Rick Rubin,
,
,
","August 2010; Eastcote Studios ,2011","29 November 2010,8 July 2011",Rolling in the Deep,"
,
,
,Adele Adkins,
,Paul Epworth,
,
,
,
,
,
,Adele,
,Paul Epworth,
,
,
",2011
"Eminem,Rihanna",CD single,Hip pop,"
,Length,
,4,:,23,
","
,
,
,Alex da Kid,
,Makeba Riddick,
,
,
",2009,"August 9, 2010",Love the Way You Lie,"
,
,
,Eminem,
,Alex da Kid,
,Skylar Grey,
,
,
",2010
"B.o.B,Hayley Williams",Digital download,"
,
,
,Alternative hip hop,
,rap rock,
,
,
","
,Length,
,3,:,01,
","
,
,
,Alex da Kid,
,DJ Frank E,
,
,
",2009,"April 13, 2010",Airplanes,"
,
,
,Jeremy ""Kinetics"" Dussolliet,
,Tim ""One Love"" Sommers,
,Justin Franks,
,Alexander Grant,
,Bobby Simmons,
,Christine Dominguez,
,
,
",2010
"Usher,will.i.am","
,
,
,CD single,
,digital download,
,
,
","
,
,
,Dance-pop,
,electropop,
,R&B,[1],
,
,
","
,Length,
,4,:,45, ,(album version w/o will.i.am),
4:28 ,(radio edit),
",will.i.am,"2009 Chung King Studios,
,7",22-Mar-10,OMG,William Adams,2010
"Katy Perry,Snoop Dogg","
,
,
,Digital download,
,CD single,
,
,
","
,
,
,Disco,-,pop,
,funk,-pop,
,
,
","
,Length,
,3,:,56,
","
,
,
,Dr. Luke,
,Benny Blanco,
,Max Martin,
,
,
",,"May 7, 2010",California Gurls,"
,
,
,Katy Perry,
,Lukasz Gottwald,
,Max Martin,
,Benjamin Levin,
,Bonnie McKee,
,Calvin Broadus,
,
,
",2010
Train,"
,
,
,CD,
,digital download,
,
,
","
,
,
,Pop rock,
,folk rock,
,
,
","
,Length,
,3,:,37,
","
,
,
,Espionage,
,Martin Terefe,
,Gregg Wattenberg,
,
,
","
,
","August 11, 2009","Hey, Soul Sister","
,
,
,Patrick Monahan,
,Espen Lind,
,Amund Bjørklund,
,
,
",2010
Lady Antebellum,Digital download,Country pop,"
,Length,
,
,
,
,4,:,37, ,(album version),
,3:56 ,(single version),
,
,
,
","
,
,
,Lady Antebellum,
,Paul Worley,
,
,
",,"August 11, 2009",Need You Now,"
,
,
,Hillary Scott,
,Charles Kelley,
,Dave Haywood,
,Josh Kear,
,
,
",2010
CeeLo Green,"
,
,
,CD single,
,digital download,
,
,
","
,
,
,Soul,
,pop,
,funk,
,
,
",,The Smeezingtons,2010,19-Aug-10,Fuck You,"
,
,
,Bruno Mars,
,CeeLo Green,
,Philip Lawrence,
,Ari Levine,
,
,
",2011
Bruno Mars,,"
,
,
,Pop,
,R&B,
,
,
","
,Length,
,3,:,42,
",The Smeezingtons,"26,20","
,
",Grenade,"
,
,
,Bruno Mars,
,Philip Lawrence,
,Ari Levine,
,Brody Brown,
,Claude Kelly,
,Andrew Wyatt,
,
,
",2011
"Pitbull,Ne-Yo,Afrojack,Nayer","
,
,
,CD single,
,digital download,
,
,
","
,
,
,Hip house,
,electro house,
,dance-pop,
,
,
","
,Length,
,4,:,12,
",Afrojack,"2009–2010,149","March 18, 2011",Give Me Everything,"
,
,
,Armando Pérez,
,Nick van de Wall,
,Shaffer Smith,
,
,
",2011
Kesha,"
,
,
,CD,
,digital download,
,
,
",Dance-pop,"
,Length,
,3,:,24,
","
,
,
,Dr. Luke,
,Benny Blanco,
,Ammo,
,
,
",,"October 22, 2010",We R Who We R,"
,
,
,Kesha Sebert,
,Joshua Coleman,
,Lukasz Gottwald,
,Jacob Kasher Hindlin,
,Benjamin Levin,
,
,
",2011
Keri Hilson,"
,
,
,CD single,
,digital download,
,
,
","
,
,
,R&B,
,
,
","
,Length,
,4,:,04, ,(solo version),
,4,:,16, ,(featuring Kanye West),
",Chuck Harmony,"2010 in Los Angeles, California;
,
","October 12, 2010",Pretty Girl Rock,"
,
,
,Bill Withers,
,Ralph MacDonald,
,William Salter,
,Shaffer Smith,
,Charles Harmon,
,
,
",2011
Zac Brown Band,CD single,Country,"
,Length,
,4,:,35,
","
,
,
,Zac Brown,
,Keith Stegall,
,
,
",,"December 20, 2010",Colder Weather,"
,
,
,Zac Brown,
,Wyatt Durrette,
,Levi Lowrey,
,Coy Bowles,
,
,
",2011
Jerrod Niemann,Digital download,"Soul,Country","
,Length,
,4,:,09,
","
,
,
,Daniel Laszlo,
,Dan Pritzker,
,
,
,
,
,
,Dave Brainard,
,Jerrod Niemann,
,
,
",2009–10,"October 1992,March 1, 2010","Lover, Lover","Dan Pritzker,Dan Pritzker",2010
Alicia Keys,"CD single,, ,digital download",R&B,,"Jeff Bhasker, Justin Atson, Alicia Keys,[1]","The Oven Studios, ,, ,
Conway Studios, ,, ","November 17, 2009",Try Sleeping with a Broken Heart,"Jeff Bhasker,, ,Alicia Keys,, ,Patrick ""Plan Pat"" Reynolds",2010
Cali Swag District,Digital download,"Pop rap,, ,dance,-,rap","
,Length,
,3,:,59, (explicit version),
3:01 (edited version),
","RunWay Star,[3]",,"April 12, 2010",Teach Me How to Dougie,"Yung, JayAre, Smoove Da General, Runway Star,[2]",2010
Uncle Kracker,"CD single,, ,music download","Pop rock,, ,country pop","
,Length,
,3,:,21,
",Rob Cavallo,2009,13-Jul-09,Smile,"Matthew Shafer,
,Blair Daly,
,J. T. Harding,
Jeremy Bose",2010
Daughtry,"
,
,
,CD,
,digital download,
,
,
",Pop rock,"
,Length,
,3,:,27,
",Howard Benson,"September 2008 – March 2009 in ,, ",10-Nov-09,Life After You,"
,
,
,Chris Daughtry,
,Chad Kroeger,
,Joey Moi,
,Brett James,
,
,
",2010
"Big Sean,Chris Brown",Digital download,"
,
,
,Hip hop,
,R&B,
,
,
","
,Length,
,4,:,14,
5:19 ,(extended version),
",No I.D.,2010,1-Mar-11,My Last,"
,
,
,Sean Anderson,
,Chris Brown,
,Dion Wilson,
,James Harris III,
,Terry Lewis,
,
,
",2011
Sara Bareilles,"CD single,, ,digital download",Pop rock,"
,Length,
,3,:,27,
",Neal Avron,2009-2010,10-May-10,King of Anything,Sara Bareilles,2010
Lady Antebellum,"
,
,
,CD single,
,music download,
,
,
",Country,"
,Length,
,3,:,44,
","
,
,
,Lady Antebellum,
,Paul Worley,
,
,
",,"January 11, 2010",American Honey,"
,
,
,Cary Barlowe,
,Hillary Lindsey,
,Shane Stevens,
,
,
",2010
Paramore,"
,
,
,Digital download,
,7"" vinyl,
,CD single,
,
,
","
,
,
,Soft rock,[1],
,folk rock,[2],
,
,
,
,
,
,Soft rock,
,folk rock,
,
,
","
,Length,
,4,:,28,
",Rob Cavallo,2009; Lightning Sound Studios ,"February 17, 2010,September 28, 2010",The Only Exception,"
,
,
,Hayley Williams,
,Josh Farro,
,
,
",2010
Miranda Lambert,Music download,Country,"
,Length,
,3,:,56,
","Frank Liddell,
Mike Wrucke",2009,8-Mar-10,The House That Built Me,"Tom Douglas,
,Allen Shamblin",2010
"Lil Wayne,Drake",Digital download,Hip hop,"
,Length,
,4,:,35,
",Kane Beatz,,"August 17, 2010",Right Above It,"
,
,
,Dwayne Carter,
,Aubrey Graham,
,Daniel Johnson,
,Andrew Canton,
,
,
",2010
"Sean Kingston,Justin Bieber","CD single,, ,digital download",Dance-pop,"
,Length,
,3,:,22,
",Benny Blanco,"
","March 23, 2010",Eenie Meenie,"Kisean Anderson,, ,Justin Bieber,, ,Carlos Battey, Steven Battey,, ,Benjamin Levin,, Marcos Palacios, Ernest Clark",2010
Carrie Underwood,Music download,Country pop,"
,Length,
,2,:,57, (album version),
",Mark Bright,,"May 24, 2010",Undo It,"Kara DioGuardi,
,Marti Frederiksen,
,Luke Laird,
Carrie Underwood",2010
"Kenny Chesney,Grace Potter",Music download,Country,"
,Length,
,4,:,03,
",Buddy Cannon,,"May 31, 2011",You and Tequila,"Matraca Berg,
,Deana Carter",2011
"Timbaland,Drake","
,
,
,CD single,
,digital download,
,
,
","
,
,
,Hip hop,
,R&B,
,
,
","
,Length,
,4,:,00,
","
,
,
,Timbaland,
,J-Roc,
,
,
",,3-Nov-09,Say Something,"
,
,
,Timothy Mosley,
,Jerome Harmon,
,Aubrey Graham,
,Tim Clayton,
,John Maultsby,
,
,
",2010
Taylor Swift,Digital download,"
,
,
,Pop,
,country pop,
,
,
","
,Length,
,4,:,02,
","
,
,
,Nathan Chapman,
,Taylor Swift,
,
,
",,"January 22, 2010",Today Was a Fairytale,Taylor Swift,2010
